s_no,district,seat,constituency,cand_id,party_id,acronym,votes
2617,Sanghar,Sanghar-III,NA-217,2400,25,IND,123
2618,Sanghar,Sanghar-III,NA-217,703,25,IND,60
2619,Sanghar,Sanghar-III,NA-217,1274,22,GDA,43760
2620,Sanghar,Sanghar-III,NA-217,208,46,MMAP,7558
2621,Mirpurkhas,Mirpurkhas-I,NA-218,259,25,IND,75795
2622,Mirpurkhas,Mirpurkhas-I,NA-218,2306,25,IND,105
2623,Mirpurkhas,Mirpurkhas-I,NA-218,2810,86,PTI,8836
2624,Mirpurkhas,Mirpurkhas-I,NA-218,62,82,PRHP,1980
2625,Mirpurkhas,Mirpurkhas-I,NA-218,1697,5,APML,329
2626,Mirpurkhas,Mirpurkhas-I,NA-218,1133,25,IND,1547
2627,Mirpurkhas,Mirpurkhas-I,NA-218,2143,25,IND,448
2628,Mirpurkhas,Mirpurkhas-I,NA-218,727,73,PMLN,1904
2629,Mirpurkhas,Mirpurkhas-I,NA-218,2145,80,PPPP,67552
2630,Mirpurkhas,Mirpurkhas-I,NA-218,1015,25,IND,1053
2631,Mirpurkhas,Mirpurkhas-I,NA-218,2208,50,PSP,682
2632,Mirpurkhas,Mirpurkhas-I,NA-218,2431,47,MQMP,5018
2633,Mirpurkhas,Mirpurkhas-I,NA-218,479,116,TLP,2361
2634,Mirpurkhas,Mirpurkhas-I,NA-218,1252,101,TPPP,830
2635,Mirpurkhas,Mirpurkhas-I,NA-218,797,46,MMAP,2299
2636,Mirpurkhas,Mirpurkhas-II,NA-219,1376,80,PPPP,105823
2637,Mirpurkhas,Mirpurkhas-II,NA-219,259,25,IND,9748
2638,Mirpurkhas,Mirpurkhas-II,NA-219,345,22,GDA,51145
2639,Mirpurkhas,Mirpurkhas-II,NA-219,542,25,IND,2108
2640,Mirpurkhas,Mirpurkhas-II,NA-219,1028,50,PSP,545
2641,Mirpurkhas,Mirpurkhas-II,NA-219,1345,101,TPPP,533
2642,Mirpurkhas,Mirpurkhas-II,NA-219,1356,25,IND,259
2643,Mirpurkhas,Mirpurkhas-II,NA-219,1367,25,IND,3133
2644,Mirpurkhas,Mirpurkhas-II,NA-219,2392,73,PMLN,2311
2645,Umerkot,Umerkot,NA-220,2056,80,PPPP,162979
2646,Umerkot,Umerkot,NA-220,345,25,IND,183
2647,Umerkot,Umerkot,NA-220,713,25,IND,706
2648,Umerkot,Umerkot,NA-220,765,98,SUP,1046
2649,Umerkot,Umerkot,NA-220,966,46,MMAP,416
2650,Umerkot,Umerkot,NA-220,1165,86,PTI,104267
2651,Umerkot,Umerkot,NA-220,2088,73,PMLN,5089
2652,Tharparkar,Tharparkar-I,NA-221,2148,80,PPPP,79098
2653,Tharparkar,Tharparkar-I,NA-221,14,46,MMAP,1174
2654,Tharparkar,Tharparkar-I,NA-221,983,116,TLP,1996
2655,Tharparkar,Tharparkar-I,NA-221,597,25,IND,2547
2656,Tharparkar,Tharparkar-I,NA-221,1165,86,PTI,72127
2657,Tharparkar,Tharparkar-I,NA-221,1938,25,IND,244
2658,Tharparkar,Tharparkar-II,NA-222,1150,80,PPPP,106630
2659,Tharparkar,Tharparkar-II,NA-222,25,8,AOAT,1023
2660,Tharparkar,Tharparkar-II,NA-222,344,25,IND,935
2661,Tharparkar,Tharparkar-II,NA-222,345,25,IND,1968
2662,Tharparkar,Tharparkar-II,NA-222,345,25,IND,990
2663,Tharparkar,Tharparkar-II,NA-222,348,25,IND,1055
2664,Tharparkar,Tharparkar-II,NA-222,349,25,IND,1469
2665,Tharparkar,Tharparkar-II,NA-222,351,22,GDA,87251
2666,Tharparkar,Tharparkar-II,NA-222,754,25,IND,919
2667,Tharparkar,Tharparkar-II,NA-222,873,25,IND,11893
2668,Tharparkar,Tharparkar-II,NA-222,1047,25,IND,316
2669,Tharparkar,Tharparkar-II,NA-222,1727,25,IND,4894
2670,Tharparkar,Tharparkar-II,NA-222,1786,116,TLP,2002
2671,Tharparkar,Tharparkar-II,NA-222,2923,25,IND,1232
2672,Matiari,Matiari,NA-223,1159,80,PPPP,109960
2673,Matiari,Matiari,NA-223,2138,79,PPPSB,1005
2674,Matiari,Matiari,NA-223,2227,86,PTI,1845
2675,Matiari,Matiari,NA-223,1490,25,IND,951
2676,Matiari,Matiari,NA-223,2016,73,PMLN,665
2677,Matiari,Matiari,NA-223,1166,25,IND,1182
2678,Matiari,Matiari,NA-223,605,37,MWMP,3529
2679,Matiari,Matiari,NA-223,2745,25,IND,2000
2680,Matiari,Matiari,NA-223,774,25,IND,1401
2681,Matiari,Matiari,NA-223,1177,50,PSP,254
2682,Matiari,Matiari,NA-223,655,46,MMAP,6101
2683,Matiari,Matiari,NA-223,1158,22,GDA,50366
2684,Tando,Tando,NA-224,3073,80,PPPP,97147
2685,Tando,Tando,NA-224,99,25,IND,252
2686,Tando,Tando,NA-224,278,25,IND,1804
2687,Tando,Tando,NA-224,292,98,SUP,117
2688,Tando,Tando,NA-224,495,25,IND,885
2689,Tando,Tando,NA-224,884,116,TLP,4441
2690,Tando,Tando,NA-224,1068,47,MQMP,1353
2691,Tando,Tando,NA-224,1409,22,GDA,70914
2692,Tando,Tando,NA-224,1854,82,PRHP,653
2693,Tando,Tando,NA-224,2085,25,IND,1056
2694,Tando,Tando,NA-224,2144,25,IND,498
2695,Tando,Tando,NA-224,2525,25,IND,1587
2696,Tando,Tando,NA-224,2723,25,IND,0
2697,Tando,Tando,NA-224,2769,37,MWMP,949
2698,Tando,Tando,NA-224,2965,46,MMAP,7867
2699,Hyderabad,Hyderabad-I,NA-225,2762,80,PPPP,81983
2700,Hyderabad,Hyderabad-I,NA-225,2001,22,GDA,4839
2701,Hyderabad,Hyderabad-I,NA-225,753,92,PP,560
2702,Hyderabad,Hyderabad-I,NA-225,1100,86,PTI,50968
2703,Hyderabad,Hyderabad-I,NA-225,292,98,SUP,415
2704,Hyderabad,Hyderabad-I,NA-225,2819,50,PSP,619
2705,Hyderabad,Hyderabad-I,NA-225,35,25,IND,1037
2706,Hyderabad,Hyderabad-II,NA-226,2323,47,MQMP,46646
2707,Hyderabad,Hyderabad-II,NA-226,254,80,PPPP,28671
2708,Hyderabad,Hyderabad-II,NA-226,638,8,AOAT,2117
2709,Hyderabad,Hyderabad-II,NA-226,704,25,IND,404
2710,Hyderabad,Hyderabad-II,NA-226,1006,86,PTI,38672
2711,Hyderabad,Hyderabad-II,NA-226,1627,39,MQM,335
2712,Hyderabad,Hyderabad-II,NA-226,1859,116,TLP,10222
2713,Hyderabad,Hyderabad-II,NA-226,2273,50,PSP,8566
2714,Hyderabad,Hyderabad-II,NA-226,2529,25,IND,588
2715,Hyderabad,Hyderabad-II,NA-226,2690,73,PMLN,3650
2716,Hyderabad,Hyderabad-II,NA-226,2712,25,IND,302
2717,Hyderabad,Hyderabad-II,NA-226,2885,46,MMAP,4614
2718,Hyderabad,Hyderabad-II,NA-226,2941,5,APML,810
2719,Hyderabad,Hyderabad-II,NA-226,3067,25,IND,112
2720,Hyderabad,Hyderabad-III,NA-227,2402,47,MQMP,52053
2721,Hyderabad,Hyderabad-III,NA-227,2401,116,TLP,12832
2722,Hyderabad,Hyderabad-III,NA-227,729,5,APML,1047
2723,Hyderabad,Hyderabad-III,NA-227,1790,25,IND,409
2724,Hyderabad,Hyderabad-III,NA-227,34,25,IND,413
2725,Hyderabad,Hyderabad-III,NA-227,1597,25,IND,1082
2726,Hyderabad,Hyderabad-III,NA-227,85,50,PSP,6181
2727,Hyderabad,Hyderabad-III,NA-227,1050,46,MMAP,8330
2728,Hyderabad,Hyderabad-III,NA-227,601,25,IND,567
2729,Hyderabad,Hyderabad-III,NA-227,2155,86,PTI,41513
2730,Hyderabad,Hyderabad-III,NA-227,137,32,JUPN,20509
2731,Hyderabad,Hyderabad-III,NA-227,412,25,IND,267
2732,Tando,Tando,NA-228,2824,80,PPPP,76067
2733,Tando,Tando,NA-228,46,86,PTI,15443
2734,Tando,Tando,NA-228,739,79,PPPSB,1112
2735,Tando,Tando,NA-228,1051,25,IND,391
2736,Tando,Tando,NA-228,1129,25,IND,491
2737,Tando,Tando,NA-228,1348,22,GDA,45159
2738,Tando,Tando,NA-228,2701,46,MMAP,1117
2739,Tando,Tando,NA-228,2791,25,IND,296
2740,Badin,Badin-I,NA-229,1354,80,PPPP,96977
2741,Badin,Badin-I,NA-229,1671,46,MMAP,13492
2742,Badin,Badin-I,NA-229,1378,25,IND,1076
2743,Badin,Badin-I,NA-229,1643,73,PMLN,1258
2744,Badin,Badin-I,NA-229,1631,22,GDA,81828
2745,Badin,Badin-I,NA-229,714,25,IND,126
2746,Badin,Badin-I,NA-229,1355,25,IND,508
2747,Badin,Badin-II,NA-230,692,22,GDA,96875
2748,Badin,Badin-II,NA-230,1635,25,IND,1761
2749,Badin,Badin-II,NA-230,2394,25,IND,849
2750,Badin,Badin-II,NA-230,835,80,PPPP,96015
2751,Badin,Badin-II,NA-230,1391,25,IND,1369
2752,Badin,Badin-II,NA-230,1392,25,IND,1609
2753,Badin,Badin-II,NA-230,669,46,MMAP,7578
2754,Sujawal,Sujawal,NA-231,2735,80,PPPP,129980
2755,Sujawal,Sujawal,NA-231,93,25,IND,3447
2756,Sujawal,Sujawal,NA-231,160,25,IND,2871
2757,Sujawal,Sujawal,NA-231,447,88,PTIG,827
2758,Sujawal,Sujawal,NA-231,1424,46,MMAP,11177
2759,Sujawal,Sujawal,NA-231,1939,25,IND,2150
2760,Sujawal,Sujawal,NA-231,2533,25,IND,1415
2761,Sujawal,Sujawal,NA-231,2822,25,IND,957
2762,Thatta,Thatta,NA-232,2598,80,PPPP,152691
2763,Thatta,Thatta,NA-232,2829,25,IND,1834
2764,Thatta,Thatta,NA-232,786,25,IND,3190
2765,Thatta,Thatta,NA-232,366,86,PTI,18900
2766,Thatta,Thatta,NA-232,711,73,PMLN,2722
2767,Thatta,Thatta,NA-232,2189,25,IND,2853
2768,Thatta,Thatta,NA-232,1937,25,IND,294
2769,Jamshoro,Jamshoro,NA-233,2665,80,PPPP,133492
2770,Jamshoro,Jamshoro,NA-233,69,25,IND,715
2771,Jamshoro,Jamshoro,NA-233,94,25,IND,2555
2772,Jamshoro,Jamshoro,NA-233,711,25,IND,633
2773,Jamshoro,Jamshoro,NA-233,1058,73,PMLN,3627
2774,Jamshoro,Jamshoro,NA-233,2308,25,IND,184
2775,Jamshoro,Jamshoro,NA-233,2340,65,PJDP,402
2776,Jamshoro,Jamshoro,NA-233,2516,98,SUP,81289
2777,Jamshoro,Jamshoro,NA-233,2565,46,MMAP,2320
2778,Jamshoro,Jamshoro,NA-233,2659,25,IND,4189
2779,Dadu,Dadu-I,NA-234,949,80,PPPP,96038
2780,Dadu,Dadu-I,NA-234,1962,25,IND,196
2781,Dadu,Dadu-I,NA-234,2515,25,IND,597
2782,Dadu,Dadu-I,NA-234,1051,25,IND,1434
2783,Dadu,Dadu-I,NA-234,1140,86,PTI,82730
2784,Dadu,Dadu-I,NA-234,844,46,MMAP,768
2785,Dadu,Dadu-II,NA-235,2193,80,PPPP,81200
2786,Dadu,Dadu-II,NA-235,191,73,PMLN,519
2787,Dadu,Dadu-II,NA-235,193,25,IND,1339
2788,Dadu,Dadu-II,NA-235,672,46,MMAP,1933
2789,Dadu,Dadu-II,NA-235,1038,25,IND,338
2790,Dadu,Dadu-II,NA-235,1051,86,PTI,63008
2791,Dadu,Dadu-II,NA-235,1268,25,IND,19896
2792,Dadu,Dadu-II,NA-235,2339,25,IND,76
2793,Dadu,Dadu-II,NA-235,3056,25,IND,84
2794,Malir,Malir-I,NA-236,986,80,PPPP,66623
2795,Malir,Malir-I,NA-236,1749,22,GDA,2436
2796,Malir,Malir-I,NA-236,1062,25,IND,183
2797,Malir,Malir-I,NA-236,384,50,PSP,229
2798,Malir,Malir-I,NA-236,2842,13,ANP,216
2799,Malir,Malir-I,NA-236,1259,86,PTI,26456
2800,Malir,Malir-I,NA-236,2556,25,IND,106
2801,Malir,Malir-I,NA-236,2689,46,MMAP,4061
2802,Malir,Malir-I,NA-236,1957,36,JPP,44
2803,Malir,Malir-I,NA-236,595,47,MQMP,363
2804,Malir,Malir-I,NA-236,1676,25,IND,156
2805,Malir,Malir-I,NA-236,2145,25,IND,231
2806,Malir,Malir-I,NA-236,2157,73,PMLN,9839
2807,Malir,Malir-I,NA-236,152,116,TLP,4516
2808,Malir,Malir-II,NA-237,999,86,PTI,33280
2809,Malir,Malir-II,NA-237,2413,47,MQMP,306
2810,Malir,Malir-II,NA-237,145,50,PSP,1461
2811,Malir,Malir-II,NA-237,2288,25,IND,861
2812,Malir,Malir-II,NA-237,1676,46,MMAP,5168
2813,Malir,Malir-II,NA-237,1849,82,PRHP,1352
2814,Malir,Malir-II,NA-237,3032,73,PMLN,14099
2815,Malir,Malir-II,NA-237,608,47,MQMP,11251
2816,Malir,Malir-II,NA-237,629,116,TLP,11665
2817,Malir,Malir-II,NA-237,1744,25,IND,43
2818,Malir,Malir-II,NA-237,24,25,IND,32
2819,Malir,Malir-II,NA-237,472,25,IND,42
2820,Malir,Malir-II,NA-237,462,13,ANP,396
2821,Malir,Malir-II,NA-237,1245,22,GDA,502
2822,Malir,Malir-II,NA-237,32,80,PPPP,31907
2823,Malir,Malir-II,NA-237,2865,79,PPPSB,134
2824,Malir,Malir-III,NA-238,2831,80,PPPP,29598
2825,Malir,Malir-III,NA-238,201,25,IND,64
2826,Malir,Malir-III,NA-238,723,25,IND,207
2827,Malir,Malir-III,NA-238,764,47,MQMP,6793
2828,Malir,Malir-III,NA-238,795,82,PRHP,19463
2829,Malir,Malir-III,NA-238,912,68,PMA,223
2830,Malir,Malir-III,NA-238,941,25,IND,76
2831,Malir,Malir-III,NA-238,1117,116,TSHP,545
2832,Malir,Malir-III,NA-238,1676,46,MMAP,6673
2833,Malir,Malir-III,NA-238,1777,25,IND,281
2834,Malir,Malir-III,NA-238,1783,25,IND,66
2835,Malir,Malir-III,NA-238,1890,22,GDA,162
2836,Malir,Malir-III,NA-238,2071,65,PJDP,451
2837,Malir,Malir-III,NA-238,2084,25,IND,241
2838,Malir,Malir-III,NA-238,2265,50,PSP,796
2839,Malir,Malir-III,NA-238,2554,13,ANP,3748
2840,Malir,Malir-III,NA-238,2765,25,IND,432
2841,Malir,Malir-III,NA-238,2846,73,PMLN,14026
2842,Malir,Malir-III,NA-238,3033,92,PP,68
2843,Malir,Malir-III,NA-238,3077,86,PTI,16495
2844,Korangi,Korangi,NA-239,1480,86,PTI,69147
2845,Korangi,Korangi,NA-239,1867,25,IND,350
2846,Korangi,Korangi,NA-239,2572,25,IND,106
2847,Korangi,Korangi,NA-239,1756,39,MQM,2008
2848,Korangi,Korangi,NA-239,2767,80,PPPP,11887
2849,Korangi,Korangi,NA-239,2788,32,JUPN,174
2850,Korangi,Korangi,NA-239,2682,47,MQMP,68811
2851,Korangi,Korangi,NA-239,1620,46,MMAP,12290
2852,Korangi,Korangi,NA-239,1450,25,IND,282
2853,Korangi,Korangi,NA-239,2605,25,IND,281
2854,Korangi,Korangi,NA-239,2546,9,ATP,63
2855,Korangi,Korangi,NA-239,2176,25,IND,334
2856,Korangi,Korangi,NA-239,2384,25,IND,337
2857,Korangi,Korangi,NA-239,2866,116,TLP,30109
2858,Korangi,Korangi,NA-239,498,25,IND,125
2859,Korangi,Korangi,NA-239,2271,5,APML,508
2860,Korangi,Korangi,NA-239,2821,50,PSP,4389
2861,Korangi,Korangi,NA-239,1586,73,PMLN,19616
2862,Korangi,Korangi,NA-239,943,25,IND,120
2863,Korangi,Korangi,NA-240,945,47,MQMP,61165
2864,Korangi,Korangi,NA-240,1286,25,IND,165
2865,Korangi,Korangi,NA-240,2540,25,IND,346
2866,Korangi,Korangi,NA-240,1549,116,TLP,30535
2867,Korangi,Korangi,NA-240,1883,73,PMLS,841
2868,Korangi,Korangi,NA-240,2118,84,PST,989
2869,Korangi,Korangi,NA-240,1663,25,IND,515
2870,Korangi,Korangi,NA-240,1614,25,IND,432
2871,Korangi,Korangi,NA-240,1908,25,IND,296
2872,Korangi,Korangi,NA-240,48,46,MMAP,19321
2873,Korangi,Korangi,NA-240,666,86,PTI,29939
2874,Korangi,Korangi,NA-240,1668,25,IND,150
2875,Korangi,Korangi,NA-240,147,39,MQM,14376
2876,Korangi,Korangi,NA-240,24,68,PMA,1641
2877,Korangi,Korangi,NA-240,2733,50,PSP,6661
2878,Korangi,Korangi,NA-240,1607,80,PPPP,7586
2879,Korangi,Korangi,NA-241,630,86,PTI,26706
2880,Korangi,Korangi,NA-241,19,25,IND,170
2881,Korangi,Korangi,NA-241,31,25,IND,4606
2882,Korangi,Korangi,NA-241,665,6,APMLJ,1119
2883,Korangi,Korangi,NA-241,1023,13,ANP,742
2884,Korangi,Korangi,NA-241,1395,80,PPPP,9367
2885,Korangi,Korangi,NA-241,1582,50,PSP,5167
2886,Korangi,Korangi,NA-241,1609,82,PRHP,2284
2887,Korangi,Korangi,NA-241,1732,47,MQMP,23873
2888,Korangi,Korangi,NA-241,1837,39,MQM,504
2889,Korangi,Korangi,NA-241,1909,68,PMA,846
2890,Korangi,Korangi,NA-241,2128,32,JUPN,178
2891,Korangi,Korangi,NA-241,2325,25,IND,174
2892,Korangi,Korangi,NA-241,2884,116,TLP,19184
2893,Korangi,Korangi,NA-241,2891,73,PMLN,16892
2894,Karachi,Karachi,NA-242,2372,86,PTI,27333
2895,Karachi,Karachi,NA-242,25,25,IND,552
2896,Karachi,Karachi,NA-242,375,46,MMAP,8262
2897,Karachi,Karachi,NA-242,491,98,SUP,733
2898,Karachi,Karachi,NA-242,865,50,PSP,1569
2899,Karachi,Karachi,NA-242,1124,9,ATP,76
2900,Karachi,Karachi,NA-242,1127,47,MQMP,6393
2901,Karachi,Karachi,NA-242,1242,67,PKICA,110
2902,Karachi,Karachi,NA-242,1537,68,PMA,195
2903,Karachi,Karachi,NA-242,1660,80,PPPP,11823
2904,Karachi,Karachi,NA-242,1966,8,AOAT,796
2905,Karachi,Karachi,NA-242,2111,25,IND,78
2906,Karachi,Karachi,NA-242,2121,92,PMAP,33
2907,Karachi,Karachi,NA-242,2121,13,ANP,33
2908,Karachi,Karachi,NA-242,2151,25,IND,31
2909,Karachi,Karachi,NA-242,2603,73,PMLN,7060
2910,Karachi,Karachi,NA-242,2707,25,IND,163
2911,Karachi,Karachi,NA-242,2808,116,TLP,3167
2912,Karachi,Karachi,NA-242,3053,25,IND,442
2913,Karachi,Karachi,NA-243,922,86,PTI,91358
2914,Karachi,Karachi,NA-243,105,65,PJDP,483
2915,Karachi,Karachi,NA-243,333,93,PMOP,37
2916,Karachi,Karachi,NA-243,1094,25,IND,53
2917,Karachi,Karachi,NA-243,1564,25,IND,110
2918,Karachi,Karachi,NA-243,1704,25,IND,50
2919,Karachi,Karachi,NA-243,1747,50,PSP,3641
2920,Karachi,Karachi,NA-243,1881,46,MMAP,16214
2921,Karachi,Karachi,NA-243,1966,8,AOAT,1127
2922,Karachi,Karachi,NA-243,2564,73,PMLN,7912
2923,Karachi,Karachi,NA-243,2724,47,MQMP,24082
2924,Karachi,Karachi,NA-243,2734,25,IND,716
2925,Karachi,Karachi,NA-243,2781,39,MQM,115
2926,Karachi,Karachi,NA-243,2826,116,TLP,6489
2927,Karachi,Karachi,NA-243,2873,80,PPPP,10631
2928,Karachi,Karachi,NA-244,2722,86,PTI,69475
2929,Karachi,Karachi,NA-244,1918,56,PAR,48
2930,Karachi,Karachi,NA-244,2371,25,IND,47
2931,Karachi,Karachi,NA-244,2616,13,ANP,100
2932,Karachi,Karachi,NA-244,1452,47,MQMP,19527
2933,Karachi,Karachi,NA-244,1439,8,AOAT,577
2934,Karachi,Karachi,NA-244,2103,25,IND,428
2935,Karachi,Karachi,NA-244,2879,22,GDA,1009
2936,Karachi,Karachi,NA-244,2317,39,MQM,152
2937,Karachi,Karachi,NA-244,1656,25,IND,64
2938,Karachi,Karachi,NA-244,3021,46,MMAP,17894
2939,Karachi,Karachi,NA-244,2651,25,IND,983
2940,Karachi,Karachi,NA-244,2323,25,IND,20
2941,Karachi,Karachi,NA-244,2030,5,APML,159
2942,Karachi,Karachi,NA-244,1491,25,IND,20
2943,Karachi,Karachi,NA-244,316,25,IND,100
2944,Karachi,Karachi,NA-244,1807,50,PSP,2067
2945,Karachi,Karachi,NA-244,1867,25,IND,60
2946,Karachi,Karachi,NA-244,1341,80,PPPP,14745
2947,Karachi,Karachi,NA-244,1344,73,PMLN,31247
2948,Karachi,Karachi,NA-244,2985,116,TLP,9273
2949,Karachi,Karachi,NA-245,3,86,PTI,56615
2950,Karachi,Karachi,NA-245,58,25,IND,183
2951,Karachi,Karachi,NA-245,3069,25,IND,446
2952,Karachi,Karachi,NA-245,363,25,IND,569
2953,Karachi,Karachi,NA-245,2355,50,PSP,6136
2954,Karachi,Karachi,NA-245,2409,25,IND,996
2955,Karachi,Karachi,NA-245,1468,116,TLP,20580
2956,Karachi,Karachi,NA-245,1842,39,MQM,2857
2957,Karachi,Karachi,NA-245,2373,46,MMAP,20135
2958,Karachi,Karachi,NA-245,1098,73,PMLN,9653
2959,Karachi,Karachi,NA-245,1687,25,IND,524
2960,Karachi,Karachi,NA-245,12,25,IND,80
2961,Karachi,Karachi,NA-245,1603,47,MQMP,35247
2962,Karachi,Karachi,NA-245,667,80,PPPP,8812
2963,Karachi,Karachi,NA-245,2416,13,ANP,606
2964,Karachi,Karachi,NA-246,102,86,PTI,52750
2965,Karachi,Karachi,NA-246,125,25,IND,110
2966,Karachi,Karachi,NA-246,186,116,TLP,42345
2967,Karachi,Karachi,NA-246,319,25,IND,610
2968,Karachi,Karachi,NA-246,502,80,PPPP,39325
2969,Karachi,Karachi,NA-246,622,50,PSP,3287
2970,Karachi,Karachi,NA-246,732,25,IND,338
2971,Karachi,Karachi,NA-246,867,13,ANP,772
2972,Karachi,Karachi,NA-246,1027,20,BPP,408
2973,Karachi,Karachi,NA-246,1151,47,MQMP,9851
2974,Karachi,Karachi,NA-246,1421,46,MMAP,33078
2975,Karachi,Karachi,NA-246,1514,65,PJDP,538
2976,Karachi,Karachi,NA-246,1525,22,GDA,253
2977,Karachi,Karachi,NA-246,1669,25,IND,278
2978,Karachi,Karachi,NA-246,2410,73,PMLN,19077
2979,Karachi,Karachi,NA-246,2935,25,IND,89
2980,Karachi,Karachi,NA-247,355,86,PTI,91020
2981,Karachi,Karachi,NA-247,1018,39,MQM,83
2982,Karachi,Karachi,NA-247,1637,46,MMAP,22780
2983,Karachi,Karachi,NA-247,706,22,GDA,262
2984,Karachi,Karachi,NA-247,1260,67,PKICA,205
2985,Karachi,Karachi,NA-247,2209,25,IND,53
2986,Karachi,Karachi,NA-247,162,25,IND,66
2987,Karachi,Karachi,NA-247,148,73,PMLN,18130
2988,Karachi,Karachi,NA-247,1984,25,IND,84
2989,Karachi,Karachi,NA-247,255,84,PST,189
2990,Karachi,Karachi,NA-247,47,25,IND,352
2991,Karachi,Karachi,NA-247,1994,25,IND,139
2992,Karachi,Karachi,NA-247,15,80,PPPP,19552
2993,Karachi,Karachi,NA-247,676,50,PSP,5448
2994,Karachi,Karachi,NA-247,2867,116,TLP,24680
2995,Karachi,Karachi,NA-247,105,65,PJDP,450
2996,Karachi,Karachi,NA-247,28,25,IND,485
2997,Karachi,Karachi,NA-247,593,25,IND,335
2998,Karachi,Karachi,NA-247,1697,25,IND,6462
2999,Karachi,Karachi,NA-247,2037,25,IND,114
3000,Karachi,Karachi,NA-247,2518,25,IND,1354
3001,Karachi,Karachi,NA-247,675,25,IND,57
3002,Karachi,Karachi,NA-247,1603,47,MQMP,24146
3003,Karachi,Karachi,NA-248,75,80,PPPP,35124
3004,Karachi,Karachi,NA-248,62,25,IND,490
3005,Karachi,Karachi,NA-248,155,47,MQMP,1432
3006,Karachi,Karachi,NA-248,384,116,TLP,13797
3007,Karachi,Karachi,NA-248,489,25,IND,215
3008,Karachi,Karachi,NA-248,779,46,MMAP,8967
3009,Karachi,Karachi,NA-248,795,82,PRHP,3941
3010,Karachi,Karachi,NA-248,1486,73,PMLS,491
3011,Karachi,Karachi,NA-248,1823,73,PMLN,20732
3012,Karachi,Karachi,NA-248,1901,50,PSP,2168
3013,Karachi,Karachi,NA-248,2450,86,PTI,34101
3014,Karachi,Karachi,NA-248,2692,25,IND,134
3015,Karachi,Karachi,NA-249,1595,86,PTI,35344
3016,Karachi,Karachi,NA-249,81,25,IND,202
3017,Karachi,Karachi,NA-249,98,22,GDA,228
3018,Karachi,Karachi,NA-249,126,116,TLP,23981
3019,Karachi,Karachi,NA-249,234,25,IND,138
3020,Karachi,Karachi,NA-249,407,47,MQMP,13534
3021,Karachi,Karachi,NA-249,696,50,PSP,1617
3022,Karachi,Karachi,NA-249,805,25,IND,122
3023,Karachi,Karachi,NA-249,829,92,PMAP,241
3024,Karachi,Karachi,NA-249,871,68,PMA,464
3025,Karachi,Karachi,NA-249,1045,25,IND,227
3026,Karachi,Karachi,NA-249,1328,73,PMLN,34626
3027,Karachi,Karachi,NA-249,1413,25,IND,234
3028,Karachi,Karachi,NA-249,2158,80,PPPP,7236
3029,Karachi,Karachi,NA-249,2735,46,MMAP,10307
3030,Karachi,Karachi,NA-250,426,86,PTI,36049
3031,Karachi,Karachi,NA-250,230,80,PPPP,24690
3032,Karachi,Karachi,NA-250,407,25,IND,116
3033,Karachi,Karachi,NA-250,426,8,AOAT,786
3034,Karachi,Karachi,NA-250,682,47,MQMP,29086
3035,Karachi,Karachi,NA-250,1152,92,PMAP,406
3036,Karachi,Karachi,NA-250,1542,25,IND,141
3037,Karachi,Karachi,NA-250,1672,39,MQM,272
3038,Karachi,Karachi,NA-250,1984,46,MMAP,22629
3039,Karachi,Karachi,NA-250,2554,13,ANP,11385
3040,Karachi,Karachi,NA-250,2754,50,PSP,5563
3041,Karachi,Karachi,NA-250,2781,116,TLP,13496
3042,Karachi,Karachi,NA-250,2847,25,IND,2098
3043,Karachi,Karachi,NA-251,2728,47,MQMP,56888
3044,Karachi,Karachi,NA-251,2848,25,IND,1179
3045,Karachi,Karachi,NA-251,401,25,IND,106
3046,Karachi,Karachi,NA-251,1400,86,PTI,33462
3047,Karachi,Karachi,NA-251,1771,50,PSP,5653
3048,Karachi,Karachi,NA-251,1995,68,PMA,1974
3049,Karachi,Karachi,NA-251,1409,116,TLP,30524
3050,Karachi,Karachi,NA-251,1409,46,MMAP,21812
3051,Karachi,Karachi,NA-251,1690,80,PPPP,9616
3052,Karachi,Karachi,NA-251,627,73,PMLN,8160
3053,Karachi,Karachi,NA-251,2681,5,APML,2730
3054,Karachi,Karachi,NA-251,3049,25,IND,277
3055,Karachi,Karachi,NA-251,945,8,AOAT,2023
3056,Karachi,Karachi,NA-252,164,86,PTI,21065
3057,Karachi,Karachi,NA-252,56,80,PPPP,9909
3058,Karachi,Karachi,NA-252,60,69,PML,1662
3059,Karachi,Karachi,NA-252,62,46,MMAP,10074
3060,Karachi,Karachi,NA-252,73,47,MQMP,17858
3061,Karachi,Karachi,NA-252,168,50,PSP,4786
3062,Karachi,Karachi,NA-252,221,25,IND,646
3063,Karachi,Karachi,NA-252,654,25,IND,235
3064,Karachi,Karachi,NA-252,687,25,IND,166
3065,Karachi,Karachi,NA-252,1567,73,PMLN,6495
3066,Karachi,Karachi,NA-252,1609,116,TLP,10107
3067,Karachi,Karachi,NA-252,1779,92,PP,135
3068,Karachi,Karachi,NA-252,1812,25,IND,287
3069,Karachi,Karachi,NA-252,2294,25,IND,73
3070,Karachi,Karachi,NA-252,2423,25,IND,994
3071,Karachi,Karachi,NA-252,2625,25,IND,50
3072,Karachi,Karachi,NA-253,2940,47,MQMP,52426
3073,Karachi,Karachi,NA-253,33,92,PP,135
